               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               4.689,              4.2306,              3.8635,             0.43992,             0.20796,             0.19899,            0.082104,                   0,                   0,                   0,            0.070009,           0.0033323,           0.0033323
                   1,              2.8807,              2.1312,              2.0032,             0.67577,             0.34949,             0.39241,             0.19161,                   0,                   0,                   0,            0.039993,           0.0066491,           0.0066491
                   2,              2.4837,               1.733,              1.7174,             0.72761,             0.41595,             0.46585,              0.2323,                   0,                   0,                   0,           0.0099598,           0.0099495,           0.0099495
                   3,              2.2855,              1.5006,              1.6019,             0.77035,             0.45961,             0.52019,             0.26606,                   0,                   0,                   0,           0.0099258,           0.0099258,           0.0099258
                   4,              2.1739,              1.3599,              1.5437,             0.79368,             0.49081,             0.55696,             0.28757,                   0,                   0,                   0,           0.0099258,           0.0099258,           0.0099258
                   5,              2.0888,              1.2692,              1.5117,             0.79746,             0.50869,             0.57368,             0.29756,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   6,              2.0514,               1.225,              1.4878,             0.80479,              0.5208,             0.58958,             0.31118,                   0,                   0,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,              2.0118,              1.1835,              1.4759,             0.82181,             0.52469,             0.59887,             0.31767,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,              1.9836,              1.1512,               1.459,             0.83209,             0.53333,             0.60858,             0.32204,                   0,                   0,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,              1.9663,              1.1277,              1.4535,             0.82532,             0.54117,             0.61369,             0.32658,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  10,              1.9469,              1.1064,              1.4419,              0.8272,             0.54641,             0.61988,             0.33306,                   0,                   0,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,              1.9284,              1.0825,              1.4344,             0.83325,             0.55619,             0.62935,             0.33722,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,              1.9122,                1.07,              1.4306,              0.8307,              0.5626,             0.63466,             0.34103,                   0,                   0,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,              1.9046,              1.0695,              1.4301,             0.83486,             0.56136,             0.63444,             0.34236,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  14,              1.8873,              1.0436,              1.4221,             0.83952,             0.56633,             0.63979,              0.3437,                   0,                   0,                   0,           0.0096783,           0.0096783,           0.0096783
